FROM,TO,VEC,TO-FIPS,FROM-FIPS,COUNT
MOUNTAIN VIEW CA,REDWOOD CA,MOUNTAIN VIEW CA to REDWOOD CA,,06013,1
HEALDSBURG CA,SONOMA CO CA,HEALDSBURG CA to SONOMA CO CA,06097,06097,1
PLEASANT HILL CA,ANTIOCH CA,PLEASANT HILL CA to ANTIOCH CA,06013,06013,2
GILROY CA,MORGAN HILL CA,GILROY CA to MORGAN HILL CA,06085,06085,1
VALLEJO CA,NAPA CA,VALLEJO CA to NAPA CA,06055,06095,2
BENICIA CA,PINOLE CA,BENICIA CA to PINOLE CA,06013,06095,1
SANTA ROSA CA,PETALUMA CA,SANTA ROSA CA to PETALUMA CA,06097,06097,1
RIALTO CA,ONTARIO CA,RIALTO CA to ONTARIO CA,06071,06071,1
LA MESA CA,SAN DIEGO CA,LA MESA CA to SAN DIEGO CA,06073,06073,12
HILLSBOROUGH CA,REDWOOD CA,HILLSBOROUGH CA to REDWOOD CA,,06081,1
PLEASANT HILL CA,VALLEJO CA,PLEASANT HILL CA to VALLEJO CA,06095,06013,1
WEST SACRAMENTO CA,ELK GROVE CA,WEST SACRAMENTO CA to ELK GROVE CA,06067,06113,1
MOUNTAIN VIEW CA,SAN JOSE CA,MOUNTAIN VIEW CA to SAN JOSE CA,06085,06013,2
EAST PALO ALTO CA,SAN MATEO CO CA,EAST PALO ALTO CA to SAN MATEO CO CA,06081,06081,1
WHITTIER CA,LONG BEACH CA,WHITTIER CA to LONG BEACH CA,06037,06037,1
RIVERSIDE CO CA,ONTARIO CA,RIVERSIDE CO CA to ONTARIO CA,06071,06065,1
ONTARIO CA,RIVERSIDE CA,ONTARIO CA to RIVERSIDE CA,06065,06071,4
SAN BERNARDINO CO CA,FONTANA CA,SAN BERNARDINO CO CA to FONTANA CA,06071,06071,7
LOS ALTOS CA,REDWOOD CA,LOS ALTOS CA to REDWOOD CA,,06085,1
REDONDO BEACH CA,LONG BEACH CA,REDONDO BEACH CA to LONG BEACH CA,06037,06037,1
EL CAJON CA,SAN DIEGO CA,EL CAJON CA to SAN DIEGO CA,06073,06073,12
SAN DIEGO CA,EL CAJON CA,SAN DIEGO CA to EL CAJON CA,06073,06073,9
SAN BERNARDINO CO CA,RIVERSIDE CA,SAN BERNARDINO CO CA to RIVERSIDE CA,06065,06071,4
LOS GATOS CA,SAN JOSE CA,LOS GATOS CA to SAN JOSE CA,06085,06085,1
SACRAMENTO CA,ELK GROVE CA,SACRAMENTO CA to ELK GROVE CA,06067,06067,15
ALAMEDA CO CA,HAYWARD CA,ALAMEDA CO CA to HAYWARD CA,06001,06001,1
SAN MATEO CA,HAYWARD CA,SAN MATEO CA to HAYWARD CA,06001,06081,2
RICHMOND CA,VALLEJO CA,RICHMOND CA to VALLEJO CA,06095,06013,1
CONTRA COSTA CO CA,BRENTWOOD CA,CONTRA COSTA CO CA to BRENTWOOD CA,06013,06013,1
RIVERSIDE CA,SAN BERNARDINO CA,RIVERSIDE CA to SAN BERNARDINO CA,06071,06065,4
SAN BERNARDINO CA,RIVERSIDE CA,SAN BERNARDINO CA to RIVERSIDE CA,06065,06071,2
RIVERSIDE CO CA,SAN BERNARDINO CA,RIVERSIDE CO CA to SAN BERNARDINO CA,06071,06065,8
FAIRFIELD CA,SOLANO CO CA,FAIRFIELD CA to SOLANO CO CA,06095,06095,1
PITTSBURG CA,BRENTWOOD CA,PITTSBURG CA to BRENTWOOD CA,06013,06013,1
PITTSBURG CA,WALNUT CREEK CA,PITTSBURG CA to WALNUT CREEK CA,06013,06013,1
RIVERSIDE CO CA,FONTANA CA,RIVERSIDE CO CA to FONTANA CA,06071,06065,4
RIVERSIDE CA,FONTANA CA,RIVERSIDE CA to FONTANA CA,06071,06065,1
SAN MATEO CA,MENLO PARK CA,SAN MATEO CA to MENLO PARK CA,06081,06081,1
PINOLE CA,EMERYVILLE CA,PINOLE CA to EMERYVILLE CA,06001,06013,1
CYPRESS CA,LONG BEACH CA,CYPRESS CA to LONG BEACH CA,06037,06059,1
MARTINEZ CA,WALNUT CREEK CA,MARTINEZ CA to WALNUT CREEK CA,06013,06013,2
TORRANCE CA,LONG BEACH CA,TORRANCE CA to LONG BEACH CA,06037,06037,3
UPLAND CA,FONTANA CA,UPLAND CA to FONTANA CA,06071,06071,1
CONTRA COSTA CO CA,CONCORD CA,CONTRA COSTA CO CA to CONCORD CA,06013,06013,5
SAN DIEGO CA,CHULA VISTA CA,SAN DIEGO CA to CHULA VISTA CA,06073,06073,16
ORANGE CO CA,HUNTINGTON BEACH CA,ORANGE CO CA to HUNTINGTON BEACH CA,06059,06059,4
MARTINEZ CA,CONCORD CA,MARTINEZ CA to CONCORD CA,06013,06013,1
WESTMINSTER CA,LONG BEACH CA,WESTMINSTER CA to LONG BEACH CA,06037,06059,1
SAN BERNARDINO CA,FONTANA CA,SAN BERNARDINO CA to FONTANA CA,06071,06071,7
REDWOOD CA,SAN MATEO CO CA,REDWOOD CA to SAN MATEO CO CA,06081,,3
REDWOOD CITY CA,SAN MATEO CO CA,REDWOOD CITY CA to SAN MATEO CO CA,06081,06081,1
SAN MATEO CO CA,REDWOOD CA,SAN MATEO CO CA to REDWOOD CA,,06081,1
ONTARIO CA,FONTANA CA,ONTARIO CA to FONTANA CA,06071,06071,1
SONOMA CO CA,WINDSOR CA,SONOMA CO CA to WINDSOR CA,06097,06097,2
SAN DIEGO CA,LA MESA CA,SAN DIEGO CA to LA MESA CA,06073,06073,6
CAMPBELL CA,SAN JOSE CA,CAMPBELL CA to SAN JOSE CA,06085,06085,2
SUNNYVALE CA,SAN JOSE CA,SUNNYVALE CA to SAN JOSE CA,06085,06085,2
ALAMEDA CA,EMERYVILLE CA,ALAMEDA CA to EMERYVILLE CA,06001,06001,1
ANTIOCH CA,BRENTWOOD CA,ANTIOCH CA to BRENTWOOD CA,06013,06013,5
BRENTWOOD CA,ANTIOCH CA,BRENTWOOD CA to ANTIOCH CA,06013,06013,1
REDLANDS CA,SAN BERNARDINO CA,REDLANDS CA to SAN BERNARDINO CA,06071,06071,3
FREMONT CA,MILPITAS CA,FREMONT CA to MILPITAS CA,06085,06001,1
CYPRESS CA,SAN JOSE CA,CYPRESS CA to SAN JOSE CA,06085,06059,1
SAN LEANDRO CA,HAYWARD CA,SAN LEANDRO CA to HAYWARD CA,06001,06001,1
RICHMOND CA,EMERYVILLE CA,RICHMOND CA to EMERYVILLE CA,06001,06013,1
SAN JOSE CA,MILPITAS CA,SAN JOSE CA to MILPITAS CA,06085,06085,6
COLTON CA,SAN BERNARDINO CA,COLTON CA to SAN BERNARDINO CA,06071,06071,3
PITTSBURG CA,ANTIOCH CA,PITTSBURG CA to ANTIOCH CA,06013,06013,8
PITTSBURG CA,CONCORD CA,PITTSBURG CA to CONCORD CA,06013,06013,3
VENTURA CA,OXNARD CA,VENTURA CA to OXNARD CA,06111,06111,7
WALNUT CREEK CA,CONCORD CA,WALNUT CREEK CA to CONCORD CA,06013,06013,2
SEAL BEACH CA,LONG BEACH CA,SEAL BEACH CA to LONG BEACH CA,06037,06059,1
SAN FRANCISCO CA,DALY CITY CA,SAN FRANCISCO CA to DALY CITY CA,06081,06075,2
RIALTO CA,FONTANA CA,RIALTO CA to FONTANA CA,06071,06071,1
RICHMOND CA,PINOLE CA,RICHMOND CA to PINOLE CA,06013,06013,1
NATIONAL CITY CA,SAN DIEGO CA,NATIONAL CITY CA to SAN DIEGO CA,06073,06073,3
RIALTO CA,SAN BERNARDINO CA,RIALTO CA to SAN BERNARDINO CA,06071,06071,7
SACRAMENTO CO CA,ELK GROVE CA,SACRAMENTO CO CA to ELK GROVE CA,06067,06067,6
BURLINGAME CA,SAN MATEO CA,BURLINGAME CA to SAN MATEO CA,06081,06081,1
EAST PALO ALTO CA,MENLO PARK CA,EAST PALO ALTO CA to MENLO PARK CA,06081,06081,1
CORONADO CA,SAN DIEGO CA,CORONADO CA to SAN DIEGO CA,06073,06073,2
PLEASANT HILL CA,CONCORD CA,PLEASANT HILL CA to CONCORD CA,06013,06013,1
UNION CITY CA,HAYWARD CA,UNION CITY CA to HAYWARD CA,06001,06001,1
SANTA CLARA CA,SAN JOSE CA,SANTA CLARA CA to SAN JOSE CA,06085,06085,2
REDWOOD CA,MENLO PARK CA,REDWOOD CA to MENLO PARK CA,06081,,1
REDWOOD CITY CA,MENLO PARK CA,REDWOOD CITY CA to MENLO PARK CA,06081,06081,1
BERKELEY CA,EMERYVILLE CA,BERKELEY CA to EMERYVILLE CA,06001,06001,1
PORT HUENEME CA,OXNARD CA,PORT HUENEME CA to OXNARD CA,06111,06111,1
SIGNAL HILL CA,LONG BEACH CA,SIGNAL HILL CA to LONG BEACH CA,06037,06037,4
WEST SACRAMENTO CA,SACRAMENTO CA,WEST SACRAMENTO CA to SACRAMENTO CA,06067,06113,7
BROADMOOR CA,DALY CITY CA,BROADMOOR CA to DALY CITY CA,06081,06081,1
MILPITAS CA,MILPITAS CA,MILPITAS CA to MILPITAS CA,06085,06085,1
PLEASANTON CA,PLEASANTON CA,PLEASANTON CA to PLEASANTON CA,06001,06001,1
REDWOOD CA,REDWOOD CA,REDWOOD CA to REDWOOD CA,,,1
REDWOOD CITY CA,REDWOOD CA,REDWOOD CITY CA to REDWOOD CA,,06081,1
