FROM,TO,VEC,TO-FIPS,FROM-FIPS,COUNT
CITRUS HEIGHTS CA,DALY CITY CA,CITRUS HEIGHTS CA to DALY CITY CA,06081,06067,1
UKIAH CA,SACRAMENTO CA,UKIAH CA to SACRAMENTO CA,06067,06045,1
TUOLUMNE CO CA,ANTIOCH CA,TUOLUMNE CO CA to ANTIOCH CA,06013,06109,1
NEWARK CA,SACRAMENTO CA,NEWARK CA to SACRAMENTO CA,06067,06001,1
MODESTO CA,MENLO PARK CA,MODESTO CA to MENLO PARK CA,06081,06099,1
MOUNTAIN VIEW CA,SACRAMENTO CA,MOUNTAIN VIEW CA to SACRAMENTO CA,06067,06013,1
MANTECA CA,SONOMA CO CA,MANTECA CA to SONOMA CO CA,06097,06077,1
OAKLAND CA,ELK GROVE CA,OAKLAND CA to ELK GROVE CA,06067,06001,1
RIVERSIDE CO CA,CHULA VISTA CA,RIVERSIDE CO CA to CHULA VISTA CA,06073,06065,1
HUNTINGTON BEACH CA,SAN DIEGO CA,HUNTINGTON BEACH CA to SAN DIEGO CA,06073,06059,1
PALM SPRINGS CA,LONG BEACH CA,PALM SPRINGS CA to LONG BEACH CA,06037,06065,1
ELK GROVE CA,DUBLIN CA,ELK GROVE CA to DUBLIN CA,06001,06067,1
GARDEN GROVE CA,OXNARD CA,GARDEN GROVE CA to OXNARD CA,06111,06059,1
CITRUS HEIGHTS CA,ANTIOCH CA,CITRUS HEIGHTS CA to ANTIOCH CA,06013,06067,1
SALINAS CA,STOCKTON CA,SALINAS CA to STOCKTON CA,06077,06053,1
YUBA CO CA,STOCKTON CA,YUBA CO CA to STOCKTON CA,06077,06115,1
SAN JOSE CA,ELK GROVE CA,SAN JOSE CA to ELK GROVE CA,06067,06085,2
SANTA CLARA CO CA,SACRAMENTO CA,SANTA CLARA CO CA to SACRAMENTO CA,06067,06085,1
GRIDLEY CA,SACRAMENTO CA,GRIDLEY CA to SACRAMENTO CA,06067,06007,1
LOS BANOS CA,HAYWARD CA,LOS BANOS CA to HAYWARD CA,06001,06047,1
DALY CITY CA,SONOMA CO CA,DALY CITY CA to SONOMA CO CA,06097,06081,1
ELK GROVE CA,HAYWARD CA,ELK GROVE CA to HAYWARD CA,06001,06067,1
EL DORADO CO CA,SACRAMENTO CA,EL DORADO CO CA to SACRAMENTO CA,06067,06017,11
HEMET CA,LONG BEACH CA,HEMET CA to LONG BEACH CA,06037,06065,2
REDLANDS CA,EL CAJON CA,REDLANDS CA to EL CAJON CA,06073,06071,1
CERES CA,SAN JOSE CA,CERES CA to SAN JOSE CA,06085,06099,2
RIVERSIDE CA,SAN DIEGO CA,RIVERSIDE CA to SAN DIEGO CA,06073,06065,2
RIVERSIDE CO CA,SAN DIEGO CA,RIVERSIDE CO CA to SAN DIEGO CA,06073,06065,9
ALAMEDA CO CA,SACRAMENTO CA,ALAMEDA CO CA to SACRAMENTO CA,06067,06001,1
SANTA ROSA CA,STOCKTON CA,SANTA ROSA CA to STOCKTON CA,06077,06097,1
BUTTE CO CA,SACRAMENTO CA,BUTTE CO CA to SACRAMENTO CA,06067,06007,2
SACRAMENTO CO CA,SAN JOSE CA,SACRAMENTO CO CA to SAN JOSE CA,06085,06067,1
CHICO CA,SACRAMENTO CA,CHICO CA to SACRAMENTO CA,06067,06007,3
MENDOCINO CO CA,WINDSOR CA,MENDOCINO CO CA to WINDSOR CA,06097,06045,2
PLACER CO CA,STOCKTON CA,PLACER CO CA to STOCKTON CA,06077,06061,1
IRVINE CA,SAN DIEGO CA,IRVINE CA to SAN DIEGO CA,06073,06059,2
KENSINGTON CA,SACRAMENTO CA,KENSINGTON CA to SACRAMENTO CA,06067,06013,1
TUSTIN CA,SAN DIEGO CA,TUSTIN CA to SAN DIEGO CA,06073,06059,1
COLUSA CO CA,ELK GROVE CA,COLUSA CO CA to ELK GROVE CA,06067,06011,1
OAKLAND CA,SACRAMENTO CA,OAKLAND CA to SACRAMENTO CA,06067,06001,1
MURRIETA CA,LONG BEACH CA,MURRIETA CA to LONG BEACH CA,06037,06065,1
CERES CA,SACRAMENTO CA,CERES CA to SACRAMENTO CA,06067,06099,1
ORANGE CO CA,SAN DIEGO CA,ORANGE CO CA to SAN DIEGO CA,06073,06059,2
STANISLAUS CO CA,SACRAMENTO CA,STANISLAUS CO CA to SACRAMENTO CA,06067,06099,1
SAN FRANCISCO CA,STOCKTON CA,SAN FRANCISCO CA to STOCKTON CA,06077,06075,1
SAN FRANCISCO CA,SACRAMENTO CA,SAN FRANCISCO CA to SACRAMENTO CA,06067,06075,1
LOS BANOS CA,SAN JOSE CA,LOS BANOS CA to SAN JOSE CA,06085,06047,2
LOS BANOS CA,STOCKTON CA,LOS BANOS CA to STOCKTON CA,06077,06047,2
MANTECA CA,SAN JOSE CA,MANTECA CA to SAN JOSE CA,06085,06077,1
SOUTH SAN FRANCISCO CA,ELK GROVE CA,SOUTH SAN FRANCISCO CA to ELK GROVE CA,06067,06081,1
BERKELEY CA,SACRAMENTO CA,BERKELEY CA to SACRAMENTO CA,06067,06001,2
